AG023.7110+0.1717 14 1663  38.3 47   0.54   2.2   4.3
AG023.7225+0.2600  1 1620   0.2 20   0.26   1.1   2.2
AG023.7405-0.1581  1 1304   0.3 20   4.17  27.9  68.4
AG023.7405-0.1581  2 1201   0.3 20   0.22   1.7   4.6
AG023.7405-0.1581  3 1421   0.3 20   2.03  11.5  25.7
AG023.7550+0.5597  1 1249   0.3 20   0.44   3.2   8.2
AG023.7550+0.5597  2 1711   0.3 20   0.9    3.5   6.5
AG023.7550+0.5597  3 1489   0.3 20   0.53   2.7   5.8
AG023.7550+0.5597  4 1422   0.3 20   1.41   7.9  17.8
AG023.8262+0.5135  1 2153   0.2 20   0.9    2.2   3.3
AG023.8262+0.5135  2 1837   0.2 20   0.46   1.5   2.7
AG023.9527+0.1515  1 1720 169.5 65   0.08   0.3   0.6
AG023.9527+0.1515  2 2273 169.5 65   2.43   5.4   7.5
AG023.9527+0.1515  3 2204 169.5 65   0.43   1.0   1.5
AG023.9527+0.1515  4 1963 169.5 65   0.6    1.8   2.9
AG023.9527+0.1515  5 1746 169.5 65   0.09   0.4   0.6
AG023.9527+0.1515  6 1883 169.5 65   0.11   0.3   0.6
AG023.9527+0.1515  7 1791 169.5 65   0.12   0.4   0.7
AG023.9527+0.1515  8 1783 169.5 65   0.14   0.5   0.9
AG023.9527+0.1515  9 2135 169.5 65   0.22   0.5   0.8
AG023.9659-0.1087  1 1336  12.3 37   0.14   0.9   2.2
AG023.9659-0.1087  2 1678  12.3 37   0.16   0.7   1.2
AG023.9659-0.1087  3 1687  12.3 37   0.64   2.6   4.8
AG023.9659-0.1087  4 1904  12.3 37   3.56  11.2  18.7
AG023.9659-0.1087  5 1791  12.3 37   2.5    8.9  15.8
AG023.9659-0.1087  6 1800  12.3 37   2.03   7.1  12.6
AG023.9659-0.1087  7 1542  12.3 37   0.16   0.8   1.6
AG023.9659-0.1087  8 1861  12.3 37   0.22   0.7   1.2
AG023.9659-0.1087  9 1839  12.3 37   0.27   0.9   1.6
AG023.9659-0.1087 10 1923  12.3 37   5.67  17.5  29.0
AG023.9989+0.1567  1 1278   0.1 20   1.23   8.6  21.5
AG023.9989+0.1567  2 1206   0.1 20   0.93   7.3  19.2
AG023.9989+0.1567  3 1650   0.1 20   1.95   8.1  15.7
AG023.9989+0.1567  4 1825   0.1 20   0.72   2.5   4.3
AG024.0046+0.0397  1 1675   0.3 20   1.98   8.0  15.3
AG024.0046+0.0397  2 1675   0.3 20   0.96   3.9   7.4
AG024.0046+0.0397  3 1698   0.3 20   2.59  10.2  19.2
AG024.0112+0.4899  1 1591   0.1 20   6.26  28.1  56.4
AG024.0112+0.4899  2 1638   0.1 20   3.56  15.1  29.4
AG024.0112+0.4899  3 1533   0.1 20   1.67   8.1  16.8
AG024.0112+0.4899  4 1291   0.1 20   0.32   2.2   5.4
AG024.0112+0.4899  5 1228   0.1 20   0.24   1.8   4.7
AG024.0147+0.0487  1 2024   0.7 20   0.69   1.9   3.0
AG024.0147+0.0487  2 2091   0.7 20   6.16  16.0  24.5
AG024.0147+0.0487  3 2455   0.7 20   3.67   6.9   9.0
AG024.0147+0.0487  4 1934   0.7 20   0.44   1.3   2.2
AG024.0147+0.0487  5 2097   0.7 20   1.81   4.7   7.1
AG024.0147+0.0487  6 1934   0.7 20   0.54   1.6   2.7
AG024.0254+0.1979  1 1748   9.1 35   0.52   1.9   3.6
AG024.0254+0.1979  2 1940   9.1 35   2.1    6.4  10.5
AG024.0254+0.1979  3 2160   9.1 35   0.73   1.8   2.6
AG024.0495-0.2140  1 1238   0.1 20   1.96  14.6  37.6
AG024.0495-0.2140  2 1174   0.1 20   0.62   5.1  13.8
AG024.0981+0.4575  1 1532   3.4 35   1.74   8.4  17.5
AG024.1140-0.1744  1 1248   2.8 35   2.31  16.9  43.2
AG024.1140-0.1744  2 1252   2.8 35   1.11   8.0  20.5
AG024.1140-0.1744  3 1133   2.8 35   0.18   1.6   4.6
AG024.1140-0.1744  4 1123   2.8 35   0.12   1.1   3.0
AG024.1140-0.1744  5 1322   2.8 35   0.75   4.9  11.8
AG024.1140-0.1744  6 1183   2.8 35   0.72   5.8  15.7
AG024.1140-0.1744  7 1231   2.8 35   0.48   3.6   9.3
AG024.1140-0.1744  8 1073   2.8 35   0.16   1.6   4.8
AG024.1140-0.1744  9 1202   2.8 35   0.39   3.1   8.1
AG024.1140-0.1744 10 1367   2.8 35   0.22   1.4   3.2
AG024.1140-0.1744 11 1185   2.8 35   0.21   1.7   4.6
AG024.1140-0.1744 12 1524   2.8 35   0.5    2.4   5.1
AG024.1140-0.1744 13 1136   2.8 35   0.16   1.4   4.0
AG024.1552+0.3945  1 1313   0.2 20   0.77   5.1  12.3
AG024.1552+0.3945  2 1577   0.2 20   1.03   4.7   9.5
AG024.1552+0.3945  3 1368   0.2 20   0.77   4.7  10.9
AG024.3592+0.0681  1 1607   1.0 35   2.33  10.3  20.4
AG024.3592+0.0681  2 1503   1.0 35   1.28   6.4  13.7
AG024.3592+0.0681  3 1487   1.0 35   0.36   1.8   3.9
AG024.3592+0.0681  4 1662   1.0 35   2.06   8.5  16.3
AG024.3592+0.0681  5 1656   1.0 35   0.85   3.5   6.8
AG024.3708+0.4808  1 1522   0.8 20   0.66   3.3   6.8
AG024.3708+0.4808  2 1302   0.8 20   2.32  15.6  38.2
AG024.4180+0.1007  1 2484   1.4 35   0.58   1.1   1.4
AG024.4180+0.1007  2 2054   1.4 35   0.75   2.0   3.2
AG024.4180+0.1007  3 1935   1.4 35   0.42   1.3   2.1
AG024.4180+0.1007  4 2195   1.4 35   0.33   0.8   1.1
AG024.4180+0.1007  5 2110   1.4 35   3.91  10.0  15.1
AG024.4180+0.1007  6 2302   1.4 35   4.35   9.3  12.9
AG024.4427-0.2270  1 2084   4.4 35   0.31   0.8   1.2
AG024.4427-0.2270  2 2073   4.4 35   1.42   3.7   5.8
AG024.4427-0.2270  3 2028   4.4 35   1.58   4.4   6.9
AG024.4427-0.2270  4 2082   4.4 35   0.15   0.4   0.6
AG024.4427-0.2270  5 1751   4.4 35   0.32   1.2   2.2
AG024.4427-0.2270  6 1885   4.4 35   1.09   3.5   5.9
AG024.4427-0.2270  7 2740   4.4 35   0.56   0.8   1.0
AG024.4427-0.2270  8 2167   4.4 35   0.14   0.3   0.5
AG024.4427-0.2270  9 1662   4.4 35   0.18   0.8   1.5
AG024.4427-0.2270 10 2055   4.4 35   0.51   1.4   2.1
AG024.4427-0.2270 11 2467   4.4 35   0.29   0.5   0.7
AG024.4427-0.2270 12 2372   4.4 35   0.19   0.4   0.5
AG024.4614+0.1981  1 1620  10.5 35   0.34   1.5   2.9
AG024.4614+0.1981  2 1574  10.5 35   0.52   2.4   4.8
AG024.4614+0.1981  3 1737  10.5 35   1.45   5.5  10.0
AG024.4614+0.1981  4 1741  10.5 35   3.08  11.6  21.2
AG024.4614+0.1981  5 1539  10.5 35   0.24   1.1   2.4
AG024.4614+0.1981  6 2401  10.5 35   1.02   2.0   2.7
AG024.4614+0.1981  7 1941  10.5 35   0.84   2.5   4.2
AG024.4614+0.1981  8 1607  10.5 35   0.25   1.1   2.1
AG024.4614+0.1981  9 2016  10.5 35   0.59   1.6   2.6
AG024.4614+0.1981 10 1880  10.5 35   0.51   1.7   2.8
AG024.4614+0.1981 11 2426  10.5 35   0.6    1.2   1.5
AG024.4931-0.0375  1 1581  14.3 38   1.49   6.8  13.7
AG024.4931-0.0375  2 2022  14.3 38   2.58   7.2  11.3
AG024.4931-0.0375  3 1463  14.3 38   0.97   5.2  11.3
AG024.4931-0.0375  4 1479  14.3 38   0.76   4.0   8.6
AG024.4931-0.0375  5 1468  14.3 38   0.63   3.3   7.2
AG024.4931-0.0375  6 1468  14.3 38   0.9    4.8  10.4
AG024.4931-0.0375  7 1508  14.3 38   2.33  11.6  24.6
AG024.4931-0.0375  8 2162  14.3 38  17.61  42.9  63.3
AG024.4931-0.0375  9 1699  14.3 38  14.52  57.2 107.0
AG024.4982+0.0543  1 1373   0.8 20   0.48   2.9   6.7
AG024.4982+0.0543  2 1977   0.8 20   0.57   1.7   2.7
AG024.4982+0.0543  3 1850   0.8 20   0.5    1.7   2.9
AG024.5073-0.2196  1 1412  45.4 49   0.17   1.0   2.2
AG024.5073-0.2196  2 1651  45.4 49   0.25   1.1   2.0
AG024.5073-0.2196  3 1443  45.4 49   0.46   2.5   5.6
AG024.5073-0.2196  4 1353  45.4 49   0.39   2.4   5.6
AG024.5073-0.2196  5 1242  45.4 49   0.27   2.0   5.1
AG024.5252-0.1390  1 1957   0.1 20   0.64   1.9   3.1
AG024.5252-0.1390  2 2113   0.1 20   0.46   1.2   1.8
AG024.5252-0.1390  3 2290   0.1 20   2.23   4.8   6.7
AG024.5252-0.1390  4 1961   0.1 20   3.41  10.1  16.4
AG024.5252-0.1390  5 2148   0.1 20   0.62   1.5   2.3
AG024.5252-0.1390  6 2016   0.1 20   1.51   4.2   6.7
