AG023.4837+0.0974  2 278.43351  -8.35611  23.48389  0.09661    9.21   3.39 0.36 0.26   20   11.89 0.33 0.22 -60 N Y
AG023.4837+0.0974  3 278.43378  -8.35594  23.48416  0.09645    0.82   1.47 0.53 0.27   46    1.62 0.33 0.22 -60 N Y
AG023.4837+0.0974  4 278.43386  -8.35562  23.48447  0.09653    1.48   0.9  0.48 0.27    9    2.71 0.33 0.22 -60 N Y
AG023.4837+0.0974  5 278.43409  -8.35562  23.48458  0.09633    0.67   0.71 0.47 0.23   34    1.01 0.33 0.22 -60 N Y
AG023.4837+0.0974  6 278.43458  -8.35517  23.4852   0.0961    10.44   0.7  0.32 0.22   30   10.39 0.33 0.22 -60 N Y
AG023.5687+0.0144  1 278.54837  -8.32178  23.56673  0.01159    1.08   0.23 0.25 0.19   35    0.86 0.3  0.19 -63 N N
AG023.5687+0.0144  2 278.54453  -8.31958  23.56694  0.01597    0.73   0.35 0.2  0.28 -204    0.72 0.3  0.19 -63 N N
AG023.5687+0.0144  3 278.54817  -8.31917  23.56896  0.01297    0.85   0.34 0.18 0.26  293    0.69 0.3  0.19 -63 N N
AG023.5687+0.0144  4 278.54741  -8.31915  23.56863  0.01364    0.61   0.57 0.34 0.21   27    0.77 0.3  0.19 -63 N N
AG023.5687+0.0144  5 278.54764  -8.319    23.56887  0.01351    1.54   0.9  0.36 0.29   53    2.74 0.3  0.19 -63 N N
AG023.5687+0.0144  6 278.54779  -8.31881  23.56911  0.01347    0.9    1.29 0.29 0.25   49    1.12 0.3  0.19 -63 N N
AG023.5687+0.0144  7 278.54684  -8.31881  23.56868  0.0143     1.41   0.62 0.28 0.21    8    1.49 0.3  0.19 -63 N N
AG023.5687+0.0144  8 278.5478   -8.31842  23.56946  0.01363    4.57   0.85 0.31 0.2    22    4.97 0.3  0.19 -63 N N
AG023.5687+0.0144  9 278.54761  -8.31873  23.5691   0.01366    0.87   0.9  0.23 0.3  -258    1.03 0.3  0.19 -63 N N
AG023.5687+0.0144 10 278.54771  -8.31866  23.56921  0.01361    8.57   1.07 0.33 0.2    31    9.89 0.3  0.19 -63 N N
AG023.5687+0.0144 11 278.54744  -8.31832  23.56939  0.014     13.64   1.37 0.37 0.22   27   19.71 0.3  0.19 -63 N N
AG023.5687+0.0144 12 278.54741  -8.31818  23.56949  0.01409    3.67   0.29 0.53 0.33   52   11.25 0.3  0.19 -63 N N
AG023.6469+0.1951  1 278.42151  -8.1672   23.64604  0.19426    1.81   0.13 0.32 0.2    30    1.86 0.31 0.2  -61 N N
AG023.6469+0.1951  2 278.42113  -8.16686  23.64616  0.19475    1.92   0.15 0.34 0.21   25    2.14 0.31 0.2  -61 N N
AG023.7065-0.1971  1 278.80257  -8.29562  23.70581 -0.19963    2.61   0.54 0.32 0.25   38    3.54 0.3  0.2  -61 N N
AG023.7065-0.1971  2 278.80174  -8.29533  23.70569 -0.19876    0.53   0.21 0.19 0.29 -260    0.48 0.3  0.2  -61 N N
AG023.7065-0.1971  3 278.80156  -8.29518  23.70574 -0.19854    0.82   0.24 0.41 0.26   17    1.47 0.3  0.2  -61 N N
AG023.7065-0.1971  4 278.80017  -8.29494  23.70532 -0.1972     1.27   0.09 0.3  0.23   36    1.51 0.3  0.2  -61 N N
AG023.7065-0.1971  5 278.80187  -8.29487  23.70615 -0.19867    0.52   0.02 0.39 0.2  -136    0.68 0.3  0.2  -61 N N
AG023.7065-0.1971  6 278.80032  -8.29483  23.70549 -0.19729    0.87   0.17 0.24 0.29  -57    1.02 0.3  0.2  -61 N N
