MOUS,ms_url
uid___A001_X146c_X9b,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_X9b/uid___A002_Xe1d2cb_Xe594/uid___A002_Xe1d2cb_Xe594.ms
uid___A001_X146c_Xa0,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xa0/uid___A002_Xe2ada9_X196b1/uid___A002_Xe2ada9_X196b1.ms
uid___A001_X146c_Xa2,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xa2/uid___A002_Xe20b32_X84e7/uid___A002_Xe20b32_X84e7.ms
uid___A001_X146c_Xa7,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xa7/uid___A002_Xe50c9e_Xfb3e/uid___A002_Xe37224_X106c8.ms
uid___A001_X146c_Xa9,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xa9/uid___A002_Xe1d2cb_X5ec2/uid___A002_Xe1d2cb_X5ec2.ms
uid___A001_X146c_Xae,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xae/uid___A002_Xe37224_X10384/uid___A002_Xe37224_X10384.ms
uid___A001_X146c_Xb0,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xb0/uid___A002_Xe247d0_X2f14/uid___A002_Xe220f2_X729c.ms
uid___A001_X146c_Xb3,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xb3/uid___A002_Xeaae1d_X952c/uid___A002_Xe1baa0_X8721.ms
uid___A001_X146c_Xb5,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xb5/uid___A002_Xe2ada9_X19738/uid___A002_Xe2ada9_X19738.ms
uid___A001_X146c_Xbc,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xbc/uid___A002_Xe2ada9_X1994b/uid___A002_Xe2ada9_X1994b.ms
uid___A001_X146c_Xbe,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xbe/uid___A002_Xe2ada9_Xe803/uid___A002_Xe20b32_X8967.ms
uid___A001_X146c_Xc1,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xc1/uid___A002_Xeaff9c_X12f0/uid___A002_Xe850fb_Xc7b4.ms
uid___A001_X146c_Xc3,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xc3/uid___A002_Xe407cf_X153f0/uid___A002_Xe3da01_X621b.ms
uid___A001_X146c_Xc5,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xc5/uid___A002_Xe247d0_Xd1db/uid___A002_Xe230a1_X8333.ms
