Source_Name,Source_Seq,Source_RA,Source_Dec,Source_GLON,Source_GLAT,Source_Fpeak,Source_Fint,Primary_Target,Primary_Distance_arcsec,Num_Matching_Targets,All_Targets,Primary_FITS
AG023.2657+0.0767,4,278.35038,-8.55998,23.26506,0.07554,0.77,1.0,103421,4.244963592261465,1,103421,member.uid___A001_X146c_Xcc._103421__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.2657+0.0767,5,278.34974,-8.55917,23.2655,0.07648,0.66,0.87,103421,0.6728273729993528,1,103421,member.uid___A001_X146c_Xcc._103421__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.2657+0.0767,6,278.34951,-8.5588,23.26572,0.07685,2.91,2.34,103421,1.059816582616844,1,103421,member.uid___A001_X146c_Xcc._103421__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.2710-0.2570,1,278.64921,-8.7102,23.26795,-0.25589,0.67,0.54,103459,11.810474674259355,1,103459,member.uid___A001_X1467_X1e7._103459__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.2710-0.2570,2,278.65265,-8.70857,23.27097,-0.25815,1.95,2.47,103459,3.6640531647161203,1,103459,member.uid___A001_X1467_X1e7._103459__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.2969-0.0711,1,278.49543,-8.60059,23.29518,-0.07045,0.58,0.75,103575,6.702777662323892,1,103575,member.uid___A001_X1467_X1e7._103575__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.2969-0.0711,2,278.49778,-8.59982,23.29693,-0.07216,1.89,2.48,103575,3.374861988132238,1,103575,member.uid___A001_X1467_X1e7._103575__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.2969-0.0711,3,278.50141,-8.59861,23.29966,-0.07479,2.54,2.67,103575,16.28697450524872,1,103575,member.uid___A001_X1467_X1e7._103575__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.3651-0.2895,1,278.72553,-8.6405,23.36457,-0.29076,2.02,2.33,103916,4.227824958351193,1,103916,member.uid___A001_X1467_X1e7._103916__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.3651-0.2895,2,278.72462,-8.63995,23.36464,-0.2897,2.07,2.77,103916,1.4484534655951866,1,103916,member.uid___A001_X1467_X1e7._103916__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.3651-0.2895,3,278.72553,-8.63872,23.36614,-0.28994,0.7,1.05,103916,4.079578668081839,1,103916,member.uid___A001_X1467_X1e7._103916__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.3651-0.2895,4,278.72434,-8.63858,23.36573,-0.28883,0.58,0.55,103916,3.9474673092646744,1,103916,member.uid___A001_X1467_X1e7._103916__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.3651-0.2895,5,278.72328,-8.63806,23.36571,-0.28766,0.72,0.7,103916,7.672070158325775,1,103916,member.uid___A001_X1467_X1e7._103916__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.3651-0.2895,6,278.72368,-8.63776,23.36615,-0.28787,0.74,0.67,103916,7.656506498559159,1,103916,member.uid___A001_X1467_X1e7._103916__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.3651-0.2895,7,278.72529,-8.63717,23.36741,-0.28902,0.66,0.7,103916,8.870087071398324,1,103916,member.uid___A001_X1467_X1e7._103916__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.3651-0.2895,8,278.72778,-8.63625,23.36937,-0.29077,2.09,2.82,103916,16.044876025079137,1,103916,member.uid___A001_X1467_X1e7._103916__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.3891+0.4559,1,278.0678,-8.27422,23.38951,0.45542,0.39,0.36,104080,2.02600638178026,1,104080,member.uid___A001_X1467_X1e7._104080__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.3891+0.4559,2,278.06791,-8.27414,23.38963,0.45536,0.85,0.92,104080,2.5055573999902445,1,104080,member.uid___A001_X1467_X1e7._104080__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.3891+0.4559,3,278.06901,-8.27342,23.39077,0.45473,0.83,0.76,104080,7.195714531788161,1,104080,member.uid___A001_X1467_X1e7._104080__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4055+0.4494,1,278.08158,-8.263,23.40576,0.44851,3.47,4.21,104173,2.8454834811918137,1,104173,member.uid___A001_X1467_X1e7._104173__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4055+0.4494,2,278.08095,-8.26288,23.40558,0.44912,0.54,0.49,104173,0.5849481465121977,1,104173,member.uid___A001_X1467_X1e7._104173__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4055+0.4494,3,278.08301,-8.26214,23.40718,0.44765,0.89,0.88,104173,8.38064814027339,1,104173,member.uid___A001_X1467_X1e7._104173__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4055+0.4494,4,278.08106,-8.26178,23.40661,0.44953,0.94,0.9,104173,4.156128463950158,1,104173,member.uid___A001_X1467_X1e7._104173__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4055+0.4494,5,278.08283,-8.2601,23.40891,0.44876,1.0,1.0,104173,12.439652349441467,1,104173,member.uid___A001_X1467_X1e7._104173__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4055+0.4494,6,278.08209,-8.26091,23.40785,0.44903,0.65,0.56,104173,8.543362022651138,1,104173,member.uid___A001_X1467_X1e7._104173__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4055+0.4494,7,278.08212,-8.26086,23.40791,0.44903,0.78,0.68,104173,8.75255126637555,1,104173,member.uid___A001_X1467_X1e7._104173__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4373-0.1829,1,278.66173,-8.52894,23.43454,-0.18339,1.04,1.43,104316,9.871379304122568,1,104316,member.uid___A001_X1467_X1e7._104316__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4373-0.1829,2,278.66433,-8.52762,23.4369,-0.18506,1.01,0.97,104316,7.173500792846916,1,104316,member.uid___A001_X1467_X1e7._104316__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4373-0.1829,3,278.66372,-8.5275,23.43672,-0.18447,1.11,1.29,104316,5.294870052021279,1,104316,member.uid___A001_X1467_X1e7._104316__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4373-0.1829,4,278.66403,-8.52731,23.43703,-0.18465,0.89,1.21,104316,5.64832175339457,1,104316,member.uid___A001_X1467_X1e7._104316__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4373-0.1829,5,278.66426,-8.52654,23.43783,-0.1845,0.88,0.87,104316,5.418116497844523,1,104316,member.uid___A001_X1467_X1e7._104316__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4373-0.1829,6,278.66189,-8.52478,23.43831,-0.18161,0.85,0.71,104316,6.54374616965364,1,104316,member.uid___A001_X1467_X1e7._104316__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4373-0.1829,7,278.66346,-8.52399,23.43973,-0.18262,0.95,1.23,104316,9.001549158198246,1,104316,member.uid___A001_X1467_X1e7._104316__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4373-0.1829,8,278.66329,-8.52394,23.43969,-0.18245,1.03,1.0,104316,9.025386486044889,1,104316,member.uid___A001_X1467_X1e7._104316__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4373-0.1829,9,278.66329,-8.52373,23.43988,-0.18235,15.71,17.4,104316,9.765114431027126,1,104316,member.uid___A001_X1467_X1e7._104316__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4373-0.1829,10,278.66334,-8.52772,23.43636,-0.18424,1.9,3.92,104316,5.238973162257272,1,104316,member.uid___A001_X1467_X1e7._104316__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4373-0.1829,11,278.66323,-8.52769,23.43634,-0.18412,5.78,10.19,104316,4.991977271251365,1,104316,member.uid___A001_X1467_X1e7._104316__sci.spw16_18_20_22.cont.I.pbcor.fits
